Как администратор,"хочу иметь возможность создать учетную запись для нового HR/рекрутера, чтобы дать новому HR/рекрутеру данные доступа в его личный кабинет в системе."
,"хочу иметь возможность изменять права на просмотр, создание, редактирование данных о сотрудниках компании для HR, чтобы они могли выполнять строго назначенные им служебные обязанности (кадровый учет, управление персоналом)."
,"хочу иметь возможность изменять права на просмотр, создание, редактирование данных о кандидатах на должности в компании для рекрутеров, чтобы они могли выполнять строго назначенные им служебные обязанности."
"Как пользователь (здесь: любая роль, кроме кандидата)","хочу иметь возможность войти в личный кабинет в системе, чтобы пользоваться доступными мне для работы функциями."
,"хочу иметь возможность восстановить доступ к личному кабинету в системе, если забыл пароль, чтобы дальше пользоваться доступными мне для работы функциями."
,"хочу иметь возможность выйти из личного кабинета в системе, чтобы посторонние лица не получили доступ к предоставленному мне функционалу, когда меня нет на рабочем месте."
Как HR,"хочу иметь возможность переходить с любой страницы к сервисам (картотека сотрудников, подбор персонала, обучение сотрудников, льготы и компенсации, отчеты, настройки), чтобы быстро получать доступ к необходимому функционалу."
,"хочу иметь возможность видеть общую структуру компании с отображением количества работников и количеством недостающих позиций в каждом отделе, чтобы иметь представление о комплектности штата компании и возможность быстро перейти к любому отделу для отображения подробностей."
,"хочу иметь возможность видеть список сотрудников конкретного отдела с отображением общего количества работников и количества, находящихся в процессе подбора, чтобы сосредоточиться на работе с данным отделом."
,"хочу иметь возможность видеть полный список сотрудников компании с краткой информацией о них (ФИО, отдел, должность, электронная почта, телефон) и сортировкой по [Фамилии, Отделу], чтобы в нём быстро найти необходимую информацию."
,"хочу иметь возможность видеть все данные о конкретном сотруднике, занесённые в систему, чтобы иметь возможность работать с ними – выполнять задачи кадрового учета и управления персоналом."
,"хочу иметь возможность заполнять информацию о сотруднике при трудоустройстве (в соответствии с ТК РФ: паспорт, СНИЛС, ИНН, трудовой договор, документы воинского учета) и добавлять сканы документов, чтобы иметь возможность предоставлять эти данные соответствующим учреждениям по запросу (ФНС, ПФ, военный комиссариат) и использовать их в рабочих процессах (выплата заработной платы, налогов, отчислений в социальные фонды, предоставление отпуска, формирование рабочего графика). "
